"rfmo","flag","lon","lat","year","effort_t_hooks","catch_tot_mt","catch_tot_n","catch_bet_mt","catch_bet_n","catch_alb_mt","catch_alb_n","catch_yft_mt","catch_yft_n"
"iattc","TWN",-112.5,-42.5,2007,30,15.04,1528,0,0,15.04,1528,0,0
"iattc","VUT",-112.5,-42.5,2007,3.6,0.72,65,0,0,0.72,65,0,0
"iattc","VUT",-112.5,-42.5,2008,3,0.29,27,0.02,1,0.25,25,0.02,1
"iattc","TWN",-112.5,-42.5,2021,54.14,17.64,1419,0.09,1,17.55,1418,0,0
"iattc","TWN",-107.5,-42.5,1987,20.892,6.41,383,0,0,6.41,383,0,0
"iattc","KOR",-107.5,-42.5,2001,2.55,1.81,79,0.34,12,0.51,34,0.96,33
"iattc","TWN",-107.5,-42.5,2003,18.565,0.6,33,0,0,0.6,33,0,0
"iattc","VUT",-107.5,-42.5,2008,3,0.22,21,0.03,1,0.19,20,0,0
"iattc","VUT",-102.5,-42.5,2008,8.6,1.79,94,0.49,14,1.28,79,0.02,1
"iattc","KOR",-97.5,-42.5,1998,2.4,1.4,23,1.16,18,0,0,0.24,5
"iattc","JPN",-87.5,-42.5,1984,9.064,0,52,0,39,0,2,0,11
"wcpfc","AUS",142.5,-42.5,1992,1779.566,2.153,222,0.047,1,0.913,192,1.193,29
"wcpfc","AUS",142.5,-42.5,1993,2652.928,0.033,2,0,0,0.033,2,0,0
"wcpfc","JPN",152.5,-42.5,1990,2439.9,139.801,13134,0.405,11,139.2,13117,0.196,6
"wcpfc","AUS",152.5,-42.5,1992,1325.394,43.536,4156,0.108,1,43.428,4155,0,0
"wcpfc","JPN",152.5,-42.5,1997,2111.572,653.969,34076,23.922,821,555.568,30620,74.479,2635
"wcpfc","JPN",152.5,-42.5,1998,3446.517,1096.879,63976,12.322,378,1078.705,63390,5.852,208
"wcpfc","JPN",152.5,-42.5,1999,5309.415,790.019,43689,11.941,365,775.377,43220,2.701,104
"wcpfc","JPN",152.5,-42.5,2000,4516.004,532.696,30066,3.32,105,519.407,29593,9.969,368
"wcpfc","JPN",152.5,-42.5,2001,8871.548,2326.378,132462,10.654,394,2312.662,131952,3.062,116
"wcpfc","JPN",152.5,-42.5,2002,8631.696,1888.697,117198,68.799,2407,1790.216,113638,29.682,1153
"wcpfc","JPN",152.5,-42.5,2003,5963.588,698.781,41795,31.779,1038,664.64,40661,2.362,96
"wcpfc","JPN",152.5,-42.5,2004,3273.735,1354.375,79859,4.391,146,1349.132,79682,0.852,31
"wcpfc","JPN",152.5,-42.5,2005,2696.939,1091.429,68060,5.343,148,1082.252,67773,3.834,139
